"Permit Number","Permit Name","DBA","Class","Class Issue Status","Date Of Action","Street1","Street2","City","State","Zip","City/Twp of Premises","County","Agency Number","Quota Exempt Class","Site Location Vote"
"6349219","10511 LLC","DBA SAWCHYNS CAFE 1ST FL & BSMT & PATIO","D5","ISSUED","4/18/2018","10511 WESTERN AV","","CLEVELAND","OHIO","44111","CLEVELAND","CUYAHOGA","00925","NOT A QUOTA EXEMPT CLASS","NO"
"6349219","10511 LLC","DBA SAWCHYNS CAFE 1ST FL & BSMT & PATIO","D6","ISSUED","4/18/2018","10511 WESTERN AV","","CLEVELAND","OHIO","44111","CLEVELAND","CUYAHOGA","00925","NOT A QUOTA EXEMPT CLASS","NO"
"2845415","1109 STARKWEATHER LLC","DBA PROSPERITY SOCIAL CLUB 1ST FL & BSMT & PATIO","D5","ISSUED","1/26/2022","1109 STARKWEATHER AV","","CLEVELAND","OHIO","44113","CLEVELAND","CUYAHOGA","00994","NOT A QUOTA EXEMPT CLASS","NO"
"2845415","1109 STARKWEATHER LLC","DBA PROSPERITY SOCIAL CLUB 1ST FL & BSMT & PATIO","D6","ISSUED","1/26/2022","1109 STARKWEATHER AV","","CLEVELAND","OHIO","44113","CLEVELAND","CUYAHOGA","00994","NOT A QUOTA EXEMPT CLASS","NO"
"8922875","11310 JUNIPER REAR LLC","DBA BARKING SPIDER REAR BLDG & PATIO","D5J","ISSUED","3/18/2019","11310 JUNIPER RD","","CLEVELAND","OH","44106","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"8922875","11310 JUNIPER REAR LLC","DBA BARKING SPIDER REAR BLDG & PATIO","D6","ISSUED","3/18/2019","11310 JUNIPER RD","","CLEVELAND","OH","44106","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"6548215","11501 BUCKEYE FOODS INC","DBA SIMONS SUPERMARKET","C1","ISSUED","8/2/2018","11501 BUCKEYE RD 1ST FL","","CLEVELAND","OH","44104","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"6548215","11501 BUCKEYE FOODS INC","DBA SIMONS SUPERMARKET","C2","ISSUED","10/1/2021","11501 BUCKEYE RD 1ST FL","","CLEVELAND","OH","44104","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"6548215","11501 BUCKEYE FOODS INC","DBA SIMONS SUPERMARKET","D6","ISSUED","10/1/2021","11501 BUCKEYE RD 1ST FL","","CLEVELAND","OH","44104","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"6541200","1200 W 76TH LLC","","D5J","ISSUED","4/12/2023","1200 W 76TH ST & PATIO","","CLEVELAND","OH","44102","CLEVELAND","CUYAHOGA","00989","NOT A QUOTA EXEMPT CLASS","NO"
"6541200","1200 W 76TH LLC","","D6","ISSUED","4/12/2023","1200 W 76TH ST & PATIO","","CLEVELAND","OH","44102","CLEVELAND","CUYAHOGA","00989","NOT A QUOTA EXEMPT CLASS","NO"
"6552450","1201 OIL INC","DBA HANINI EXPRESS","C1","ISSUED","10/13/2022","1201 E 185TH","","CLEVELAND","OH","44119","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"6552450","1201 OIL INC","DBA HANINI EXPRESS","C2","ISSUED","10/13/2022","1201 E 185TH","","CLEVELAND","OH","44119","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"6547814","12022 MAYFIELD LLC","","D5","ISSUED","1/13/2020","1ST FL & BSMT & PATIO","12022-24 MAYFIELD RD","CLEVELAND","OHIO","44106","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"6547814","12022 MAYFIELD LLC","","D6","ISSUED","1/13/2020","1ST FL & BSMT & PATIO","12022-24 MAYFIELD RD","CLEVELAND","OHIO","44106","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"9115393","1212 WEST 6TH STREET LLC","DBA LIQUID 1ST FL & MEZZANINE & PATIOS","D5","ISSUED","9/1/2010","1212-16 W 6TH ST","","CLEVELAND","OHIO","44113","CLEVELAND","CUYAHOGA","00917","NOT A QUOTA EXEMPT CLASS","NO"
"9115393","1212 WEST 6TH STREET LLC","DBA LIQUID 1ST FL & MEZZANINE & PATIOS","D6","ISSUED","9/1/2010","1212-16 W 6TH ST","","CLEVELAND","OHIO","44113","CLEVELAND","CUYAHOGA","00917","NOT A QUOTA EXEMPT CLASS","NO"
"6549149","1214 WEST 6TH ST INC","","D5","ISSUED","10/25/2002","1214 W 6TH ST BSMT ONLY","","CLEVELAND","OHIO","44113","CLEVELAND","CUYAHOGA","00917","NOT A QUOTA EXEMPT CLASS","NO"
"6549149","1214 WEST 6TH ST INC","","D6","ISSUED","10/25/2002","1214 W 6TH ST BSMT ONLY","","CLEVELAND","OHIO","44113","CLEVELAND","CUYAHOGA","00917","NOT A QUOTA EXEMPT CLASS","NO"
"9115188","1219 MAIN AVENUE LLC","DBA HARBOR INN 1ST & 2ND FL & PATIO","D5","ISSUED","5/22/2018","1219 MAIN AV","","CLEVELAND","OHIO","44113","CLEVELAND","CUYAHOGA","00917","NOT A QUOTA EXEMPT CLASS","NO"
"9115188","1219 MAIN AVENUE LLC","DBA HARBOR INN 1ST & 2ND FL & PATIO","D6","ISSUED","5/22/2018","1219 MAIN AV","","CLEVELAND","OHIO","44113","CLEVELAND","CUYAHOGA","00917","NOT A QUOTA EXEMPT CLASS","NO"
"6549205","123 FOOD MART INC","DBA U S A FOOD MART","C2","ISSUED","7/14/2005","1163 E 123RD ST","","CLEVELAND","OHIO","44108","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"6549205","123 FOOD MART INC","DBA U S A FOOD MART","C2X","ISSUED","7/14/2005","1163 E 123RD ST","","CLEVELAND","OHIO","44108","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"9116311","1231 MAIN LLC KEVIN BRENNAN ESQ RCVR","DBA MCCARTHYS ALE HOUSE 1ST FL & PATIO","D1","ISSUED","4/11/2012","1231 MAIN ST UNIT 1","","CLEVELAND","OHIO","44113","CLEVELAND","CUYAHOGA","00917","NOT A QUOTA EXEMPT CLASS","NO"
"9116311","1231 MAIN LLC KEVIN BRENNAN ESQ RCVR","DBA MCCARTHYS ALE HOUSE 1ST FL & PATIO","D2","ISSUED","4/11/2012","1231 MAIN ST UNIT 1","","CLEVELAND","OHIO","44113","CLEVELAND","CUYAHOGA","00917","NOT A QUOTA EXEMPT CLASS","NO"
"9116311","1231 MAIN LLC KEVIN BRENNAN ESQ RCVR","DBA MCCARTHYS ALE HOUSE 1ST FL & PATIO","D3","ISSUED","4/11/2012","1231 MAIN ST UNIT 1","","CLEVELAND","OHIO","44113","CLEVELAND","CUYAHOGA","00917","NOT A QUOTA EXEMPT CLASS","NO"
"9116311","1231 MAIN LLC KEVIN BRENNAN ESQ RCVR","DBA MCCARTHYS ALE HOUSE 1ST FL & PATIO","D3A","ISSUED","4/11/2012","1231 MAIN ST UNIT 1","","CLEVELAND","OHIO","44113","CLEVELAND","CUYAHOGA","00917","NOT A QUOTA EXEMPT CLASS","NO"
"9116311","1231 MAIN LLC KEVIN BRENNAN ESQ RCVR","DBA MCCARTHYS ALE HOUSE 1ST FL & PATIO","D6","ISSUED","4/11/2012","1231 MAIN ST UNIT 1","","CLEVELAND","OHIO","44113","CLEVELAND","CUYAHOGA","00917","NOT A QUOTA EXEMPT CLASS","NO"
"6547694","12501 MAYFIELD ROAD LLC","","D1","ISSUED","11/2/2020","12501 MAYFIELD RD 1ST FL ONLY","","CLEVELAND","OH","44106","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"6547694","12501 MAYFIELD ROAD LLC","","D2","ISSUED","11/2/2020","12501 MAYFIELD RD 1ST FL ONLY","","CLEVELAND","OH","44106","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"6547694","12501 MAYFIELD ROAD LLC","","D3","ISSUED","11/2/2020","12501 MAYFIELD RD 1ST FL ONLY","","CLEVELAND","OH","44106","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"6547694","12501 MAYFIELD ROAD LLC","","D6","ISSUED","11/2/2020","12501 MAYFIELD RD 1ST FL ONLY","","CLEVELAND","OH","44106","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"9116297","12730 ST CLAIR INC","DBA QUICK AND EASY","C2","ISSUED","11/3/2006","12730 ST CLAIR AV","","CLEVELAND","OHIO","44108","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"9116297","12730 ST CLAIR INC","DBA QUICK AND EASY","C2X","ISSUED","11/3/2006","12730 ST CLAIR AV","","CLEVELAND","OHIO","44108","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"9116297","12730 ST CLAIR INC","DBA QUICK AND EASY","D6","ISSUED","11/3/2006","12730 ST CLAIR AV","","CLEVELAND","OHIO","44108","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"6533150","130 LORAIN LLC","DBA QS DRIVE THRU","C2","ISSUED","9/20/2022","12945 LORAIN AVE","","CLEVELAND","OH","44111","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"6533150","130 LORAIN LLC","DBA QS DRIVE THRU","C2X","ISSUED","9/20/2022","12945 LORAIN AVE","","CLEVELAND","OH","44111","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"6548354","1303 CLARK INC","","C1","ISSUED","12/16/2020","1303 CLARK AV","","CLEVELAND","OHIO","44109","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"6548354","1303 CLARK INC","","C2","ISSUED","12/16/2020","1303 CLARK AV","","CLEVELAND","OHIO","44109","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"8861042","1314 CORPORATION","DBA GINOS CENTO ANNO 1ST FL & BSMT & PATIO","D2","ISSUED","11/6/2000","1314 DENISON AV","","CLEVELAND","OHIO","44109","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"8861042","1314 CORPORATION","DBA GINOS CENTO ANNO 1ST FL & BSMT & PATIO","D2X","ISSUED","11/6/2000","1314 DENISON AV","","CLEVELAND","OHIO","44109","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"8861042","1314 CORPORATION","DBA GINOS CENTO ANNO 1ST FL & BSMT & PATIO","D3","ISSUED","11/6/2000","1314 DENISON AV","","CLEVELAND","OHIO","44109","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"8861042","1314 CORPORATION","DBA GINOS CENTO ANNO 1ST FL & BSMT & PATIO","D3A","ISSUED","5/31/2001","1314 DENISON AV","","CLEVELAND","OHIO","44109","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"8861042","1314 CORPORATION","DBA GINOS CENTO ANNO 1ST FL & BSMT & PATIO","D6","ISSUED","1/6/2009","1314 DENISON AV","","CLEVELAND","OHIO","44109","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","YES"
"6553548","13208 CAINE INC","DBA CAINE TAVERN","D1","ISSUED","1/23/1974","13208 CAINE AV","","CLEVELAND","OHIO","44105","CLEVELAND","CUYAHOGA","00934","NOT A QUOTA EXEMPT CLASS","NO"
"6553548","13208 CAINE INC","DBA CAINE TAVERN","D2","ISSUED","8/25/1970","13208 CAINE AV","","CLEVELAND","OHIO","44105","CLEVELAND","CUYAHOGA","00934","NOT A QUOTA EXEMPT CLASS","NO"
"6553548","13208 CAINE INC","DBA CAINE TAVERN","D3","ISSUED","8/25/1970","13208 CAINE AV","","CLEVELAND","OHIO","44105","CLEVELAND","CUYAHOGA","00934","NOT A QUOTA EXEMPT CLASS","NO"
"6553548","13208 CAINE INC","DBA CAINE TAVERN","D3A","ISSUED","1/23/1974","13208 CAINE AV","","CLEVELAND","OHIO","44105","CLEVELAND","CUYAHOGA","00934","NOT A QUOTA EXEMPT CLASS","NO"
"3993310","1330 HOSPITALITY INC","","D5","ISSUED","10/24/2022","1330 OLD RIVER RD","","CLEVELAND","OH","44113","CLEVELAND","CUYAHOGA","00917","TRANSFER EXEMPT","NO"
